LAT,LON,ER100,ER150,ER_Prob,RP10,RP20,RP50,RP100,RP_Avg,P_D1,P_D2,P_D3,P_D4,Drought_Prob,RP_Prob,Composite_Hazard
24.25,75.5,0.0021,0.0006,0.0013,166.21,193.2,294.53,315.92,242.47,0.1316,0.0263,0.0088,0.0088,0.0439,0.287838529,0.1043
24.25,75.75,0.0018,0.0005,0.0011,172.93,195.69,210.32,251.17,207.53,0.1491,0.0439,0.0088,0.0088,0.0526,0.244252336,0.0946
24.25,76,0.0024,0.0007,0.0016,186.02,211.55,255.36,261.76,228.67,0.2018,0.0439,0.0088,0.0088,0.0658,0.270623604,0.108
24.25,76.25,0.002,0.0005,0.0012,169.25,190.33,224.11,245.34,207.26,0.1754,0.0614,0.0088,0.0088,0.0636,0.243915522,0.099
24.25,76.5,0.0021,0.0004,0.0013,173.56,212.15,253.78,255.82,223.83,0.2105,0.0439,0.0088,0.0088,0.068,0.264585906,0.107
24.25,76.75,0.0019,0.0006,0.0013,189.92,232.22,252.84,289.38,241.09,0.1754,0.0439,0.0175,0.0088,0.0614,0.286117037,0.1108
24.25,77,0.0017,0.0005,0.0011,165.95,206.75,227.22,248.97,212.23,0.1667,0.0439,0.0175,0.0088,0.0592,0.25011539,0.099
24.25,77.25,0.0014,0.0004,0.0009,168.81,186.45,207.29,247.5,202.51,0.1579,0.0614,0.0088,0.0088,0.0592,0.237990095,0.0953
24.25,77.5,0.0013,0.0003,0.0008,145.65,172.87,195.4,207.14,180.27,0.1228,0.0351,0.0175,0.0088,0.0461,0.210246623,0.0818
24.25,77.75,0.0013,0.0002,0.0008,138.71,168.82,205.89,231.54,186.24,0.1228,0.0439,0.0175,0.0088,0.0482,0.217693949,0.0848
24.25,78,0.0013,0.0002,0.0008,141.14,176.59,187.32,235.84,185.22,0.1316,0.0526,0.0175,0.0088,0.0526,0.216421541,0.0862
24.25,78.25,0.0017,0.0004,0.0011,170.82,178.96,226.25,238.77,203.7,0.1579,0.0789,0.0088,0.0088,0.0636,0.239474571,0.0976
24.25,78.5,0.0015,0.0003,0.0009,156.05,175.53,196.69,203.39,182.91,0.1316,0.0614,0.0175,0.0088,0.0548,0.213539912,0.0863
24.25,78.75,0.0012,0.0003,0.0007,150.19,183.35,220.08,221.8,193.85,0.1404,0.0351,0.0175,0.0175,0.0526,0.227187106,0.0894
24.25,79,0.0018,0.0004,0.0011,179.98,219.65,241.97,291.51,233.27,0.1579,0.0351,0.0175,0.0175,0.057,0.276361913,0.106
24.25,79.25,0.0016,0.0004,0.001,176.19,191.84,254.25,254.79,219.27,0.2105,0.0439,0.0175,0.0088,0.0702,0.258897496,0.106
24.25,79.5,0.0017,0.0005,0.0011,185.22,217.36,248.97,286.35,234.47,0.1842,0.0614,0.0088,0.0088,0.0658,0.277858863,0.11
24.25,79.75,0.0014,0.0004,0.0009,163.86,183.21,210.63,212.68,192.6,0.193,0.0439,0.0088,0.0088,0.0636,0.225627783,0.0934
24.25,80,0.002,0.0004,0.0012,174.89,232.19,252.86,270.38,232.58,0.1491,0.0351,0.0088,0.0088,0.0504,0.275501166,0.1032
24.25,80.25,0.0009,0.0002,0.0005,138.98,144.81,175.78,259.26,179.71,0.1579,0.0263,0.0088,0.0088,0.0504,0.209548046,0.0832
24.25,80.5,0.0016,0.0004,0.001,165.54,214.63,335.08,373.98,272.31,0.1491,0.0351,0.0088,0.0088,0.0504,0.325062685,0.118
24.25,80.75,0.001,0.0003,0.0006,139.12,184.56,236.97,287.23,211.97,0.1491,0.0351,0.0088,0.0088,0.0504,0.249791051,0.0953
24.25,81,0.0011,0.0002,0.0007,136.09,173.98,191.45,193.43,173.74,0.1404,0.0526,0.0175,0.0088,0.0548,0.20210072,0.0828
24.25,81.25,0.0011,0.0002,0.0007,145.37,159.71,170.76,181.91,164.44,0.1316,0.0439,0.0175,0.0088,0.0504,0.190499358,0.0775
24.25,81.5,0.002,0.0005,0.0013,188.18,215.95,264.08,282.97,237.8,0.1404,0.0263,0.0175,0.0088,0.0482,0.282012899,0.1043
24.25,81.75,0.0021,0.0005,0.0013,194.84,240.79,286.18,333.42,263.81,0.1491,0.0351,0.0088,0.0088,0.0504,0.314459289,0.1149
